#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   144.0           3.3704E+00              3.3704E+00
   145.0           3.3714E+00              3.3714E+00
   146.0           3.3724E+00              3.3724E+00
   147.0           3.3734E+00              3.3734E+00
   148.0           3.3744E+00              3.3743E+00
   149.0           3.3753E+00              3.3753E+00
   150.0           3.3763E+00              3.3763E+00
   151.0           3.3773E+00              3.3773E+00
   152.0           3.3783E+00              3.3783E+00
   153.0           3.3793E+00              3.3793E+00
   154.0           3.3803E+00              3.3803E+00
   155.0           3.3813E+00              3.3813E+00
   156.0           3.3823E+00              3.3823E+00
   157.0           3.3833E+00              3.3833E+00
   158.0           3.3843E+00              3.3843E+00
   159.0           3.3853E+00              3.3853E+00
   160.0           3.3863E+00              3.3863E+00
   161.0           3.3873E+00              3.3873E+00
   162.0           3.3883E+00              3.3883E+00
   163.0           3.3893E+00              3.3893E+00
   164.0           3.3902E+00              3.3902E+00
   165.0           3.3912E+00              3.3912E+00
   166.0           3.3922E+00              3.3922E+00
   167.0           3.3932E+00              3.3932E+00
   168.0           3.3942E+00              3.3942E+00
   169.0           3.3951E+00              3.3951E+00
   170.0           3.3961E+00              3.3961E+00
   171.0           3.3971E+00              3.3971E+00
   172.0           3.3980E+00              3.3980E+00
   173.0           3.3990E+00              3.3990E+00
   174.0           3.3999E+00              3.3999E+00
   175.0           3.4009E+00              3.4009E+00
   176.0           3.4018E+00              3.4018E+00
   177.0           3.4028E+00              3.4028E+00
   178.0           3.4037E+00              3.4037E+00
   179.0           3.4046E+00              3.4046E+00
   180.0           3.4055E+00              3.4055E+00
   181.0           3.4065E+00              3.4065E+00
   182.0           3.4074E+00              3.4074E+00
   183.0           3.4083E+00              3.4083E+00
   184.0           3.4092E+00              3.4092E+00
   185.0           3.4100E+00              3.4100E+00
   186.0           3.4109E+00              3.4109E+00
   187.0           3.4118E+00              3.4118E+00
   188.0           3.4127E+00              3.4127E+00
   189.0           3.4135E+00              3.4135E+00
   190.0           3.4144E+00              3.4144E+00
   191.0           3.4152E+00              3.4152E+00
   192.0           3.4161E+00              3.4161E+00
   193.0           3.4169E+00              3.4169E+00
   194.0           3.4177E+00              3.4177E+00
   195.0           3.4186E+00              3.4186E+00
   196.0           3.4194E+00              3.4194E+00
   197.0           3.4202E+00              3.4202E+00
   198.0           3.4210E+00              3.4210E+00
   199.0           3.4218E+00              3.4218E+00
   200.0           3.4226E+00              3.4226E+00
   201.0           3.4234E+00              3.4234E+00
   202.0           3.4241E+00              3.4241E+00
   203.0           3.4249E+00              3.4249E+00
   204.0           3.4257E+00              3.4257E+00
